Date,mpshock_sum,mpshock,ff,logip,lopcpi,logwcp,unemps
1/1/1979,-6.957629286,0,10.07,3.971146265,4.226833745,4.323338,5.9
2/1/1979,-7.11457657,-0.156947284,10.06,3.97650465,4.237000863,4.354912,5.9
3/1/1979,-7.034512816,0.080063755,10.09,3.979631185,4.247065649,4.389623,5.8
4/1/1979,-7.122935372,-0.088422556,10.01,3.96828613,4.257030144,4.399007,5.8
5/1/1979,-7.09868213,0.024253242,10.24,3.976287114,4.268297869,4.415341,5.6
6/1/1979,-7.09868213,0,10.29,3.976230847,4.279440046,4.485485,5.7
7/1/1979,-6.498613921,0.600068209,10.47,3.974871975,4.290459441,4.499476,5.7
8/1/1979,-6.134898648,0.363715273,10.94,3.968212394,4.300002799,4.4874,6
9/1/1979,-6.207650252,-0.072751604,11.43,3.969321632,4.309455942,4.504355,5.9
10/1/1979,-6.207650252,0,13.77,3.97479121,4.320151231,4.496805,6
11/1/1979,-6.068979709,0.138670543,13.18,3.973904249,4.33073334,4.490433,5.9
12/1/1979,-6.068979709,0,13.78,3.975191213,4.342505877,4.504355,6
1/1/1980,-5.918393028,0.150586681,13.82,3.97975081,4.356708827,4.524285,6.3
2/1/1980,-5.627508568,0.290884459,14.13,3.979780714,4.369447852,4.557554,6.3
3/1/1980,-4.128945132,1.498563436,17.19,3.976487774,4.383275854,4.507888,6.3
4/1/1980,-7.460281725,-3.331336593,17.61,3.955725966,4.393213824,4.475175,6.9
5/1/1980,-8.278565143,-0.818283418,10.98,3.931115577,4.403054002,4.49032,7.5
6/1/1980,-8.278565143,0,9.47,3.918696687,4.412798293,4.48108,7.6
7/1/1980,-7.921949174,0.356615969,9.03,3.910946426,4.414009681,4.499032,7.8
8/1/1980,-7.900753417,0.021195757,9.61,3.914531856,4.421247348,4.508659,7.7
9/1/1980,-7.038765874,0.861987543,10.87,3.930620986,4.429625613,4.526668,7.5
10/1/1980,-5.637108003,1.401657871,12.81,3.943159204,4.439115602,4.506344,7.5
11/1/1980,-3.791715415,1.845392588,15.85,3.960273977,4.449685283,4.518195,7.5
12/1/1980,-4.418334458,-0.626619043,18.9,3.965914422,4.458987676,4.479834,7.2
1/1/1981,-4.418334458,0,19.08,3.960180589,4.468204331,4.48785,7.5
2/1/1981,-5.169653345,-0.751318887,15.93,3.955580455,4.477336814,4.455161,7.4
3/1/1981,-4.743618956,0.426034389,14.7,3.960860788,4.484131858,4.444532,7.4
4/1/1981,-4.743618956,0,15.72,3.956405374,4.489759334,4.442651,7.2
5/1/1981,-3.170590454,1.573028502,18.52,3.962341525,4.496470769,4.421728,7.5
6/1/1981,-3.170590454,0,19.1,3.967048925,4.505349851,4.39111,7.5
7/1/1981,-3.813103497,-0.642513043,19.04,3.973590242,4.516338972,4.38577,7.2
8/1/1981,-3.891817916,-0.078714419,17.82,3.973454831,4.523960131,4.379899,7.4
9/1/1981,-3.891817916,0,15.87,3.967484202,4.533674184,4.361824,7.6
10/1/1981,-4.421580269,-0.529762353,15.08,3.960716022,4.536891345,4.351567,7.9
11/1/1981,-4.839343852,-0.417763583,13.31,3.949203177,4.541164856,4.357862,8.3
12/1/1981,-4.724129299,0.115214553,12.37,3.938224723,4.544358047,4.356709,8.5
1/1/1982,-4.724129299,0,13.22,3.918090561,4.547541073,4.37852,8.6
2/1/1982,-3.742744791,0.981384509,14.78,3.937721941,4.550714,4.368941,8.9
3/1/1982,-4.052924217,-0.310179426,14.68,3.930067225,4.550714,4.341335,9
4/1/1982,-4.052924217,0,14.94,3.92123445,4.553876892,4.333493,9.3
5/1/1982,-4.199610895,-0.146686679,14.45,3.914779204,4.563305982,4.331523,9.4
6/1/1982,-4.199610895,0,14.15,3.911406816,4.574710979,4.287166,9.6
7/1/1982,-4.370390028,-0.170779132,12.59,3.908292054,4.579852378,4.273188,9.8
8/1/1982,-4.699789729,-0.329399702,10.12,3.899490804,4.581901559,4.258163,9.8
9/1/1982,-4.699789729,0,10.31,3.896421939,4.581901559,4.255045,10.1
10/1/1982,-5.025625877,-0.325836148,9.71,3.887472083,4.585987367,4.241183,10.4
11/1/1982,-5.06220644,-0.036580563,9.2,3.883458908,4.584967479,4.25263,10.8
12/1/1982,-4.561224127,0.500982313,8.95,3.876238302,4.581901559,4.265774,10.8
1/1/1983,-4.561224127,0,8.68,3.895409767,4.58394655,4.272351,10.4
2/1/1983,-4.467805865,0.093418262,8.51,3.889139156,4.584967479,4.292239,10.4
